2024062024	12:30:03	bb75982d-dd2d-4b68-b34e-30e2191dd9ad	/new-page.html	GET
2024062024	12:30:03	2fac2f29-7833-414f-a2ed-29ea9546ed29	/img/item-7.jpeg	GET
2024062024	12:30:49	d5a2e6c0-2a86-4f50-a777-ba866cb787cb	/new-page.html	GET
2024062024	04:32:48	56d1fcf7-2026-41b0-845d-b27b9149c1a1	POST	undefined	/employee
2024062024	04:33:11	90c67188-ab00-4d52-a4d6-a1590d2fa5dc	POST	undefined	/employee
2024062024	04:35:29	f70d9441-a3ee-43f0-bc01-e8573244c218	GET	undefined	/employee
2024062024	04:35:38	2f2856d2-5f19-4294-acfe-4e18ec6464b6	GET	undefined	/employees
2024062024	04:35:43	6bfc3eb2-c2ad-4c37-b089-8f1c50f0f102	POST	undefined	/employees
2024062024	04:35:55	6dd5dcad-fe92-4a78-98d6-a4c066804b9f	GET	undefined	/employees/1
2024062024	04:40:24	4de6d7e1-f3a7-4c01-aabd-23808615904e	POST	undefined	/employees/1
2024062024	04:40:28	6fca431b-3072-46d0-ad3d-843340d9fb8d	POST	undefined	/employees
2024062024	06:33:17	d182d082-4452-4b9b-b755-50987a9a22c7	GET	undefined	/
2024062024	06:33:17	8cfc92b1-5de1-42b6-862f-34a936ad6ea4	GET	undefined	/img/item-7.jpeg
2024062024	06:33:29	a1aaa52d-790a-44ef-934b-9037d352eb34	GET	undefined	/employees
2024062024	06:34:25	14c4703a-e0f9-4681-abbc-f7446b740f93	POST	undefined	/employees
2024062024	06:35:11	43bfd63b-6f9e-434b-a424-417fd1bb6beb	POST	undefined	/employees
2024062024	06:35:58	f93059d8-5455-4874-aad8-7059239fd206	DELETE	undefined	/employees
2024062024	06:36:28	15cee4ba-51d4-4107-bdad-811a5960d031	DELETE	undefined	/employees
2024062024	09:19:52	6c9ddbfa-2457-4c0f-93e7-46722b67b2bf	POST	undefined	/register
2024062024	09:20:01	bdfadb5e-98d7-47a4-8edd-303163ead35c	POST	undefined	/register
2024062024	09:20:17	225907b2-b770-4627-b20a-330b1f966fd6	POST	undefined	/register
2024062024	10:06:49	e5257d36-684f-4bbc-8940-74c8e72b7ae5	GET	undefined	/auth
2024062024	10:08:47	d8bafdba-3065-49b0-9dc6-3eebf8566b4a	GET	undefined	/auth
2024062024	10:10:15	dde8d77a-09ee-45d9-b4ab-9c789e811678	GET	undefined	/auth
2024062024	10:10:15	2b20dbb4-9cd8-482a-bac9-70d69893a01c	GET	undefined	/auth
2024062024	10:10:56	4fc18b59-dac4-4b8f-8575-a6f135a62587	GET	undefined	/auth
2024062024	10:11:37	98d8282f-9314-4b10-86c3-0eb7e8ac0941	GET	undefined	/auth
2024062024	10:20:08	f26469d8-764a-4c03-afb3-89e236c597c2	GET	undefined	/auth
2024062024	10:20:12	f619f3ae-de01-41de-a8bd-e2d4d040a5c7	GET	undefined	/auth
2024062024	10:21:18	660d5f01-57c9-422b-a370-61d4cb12ff69	GET	undefined	/auth
2024062024	10:21:33	c45e2f73-dd62-4d18-a501-2a4abaf1267a	POST	undefined	/auth
2024062024	10:23:00	d176e90c-795c-493f-893b-e818c1724878	POST	undefined	/auth
2024062024	10:23:17	a0233133-e547-43fd-9bf7-2a6e406ef5ca	POST	undefined	/register
2024062024	10:23:21	05e30f03-1a81-464d-abee-fb54d3ac937b	POST	undefined	/auth
2024062024	12:47:57	f470fb4a-41ac-4511-9c87-11d2b931121d	GET	undefined	/employees
2024062024	12:48:10	194186b5-15d7-4bc6-ac60-a33546be20ce	POST	undefined	/auth
2024062024	12:48:18	040c43b3-da58-4ef1-a14b-5a4b6b83c578	POST	undefined	/auth
2024062024	12:49:24	46899006-1044-49be-ba6c-6cb341d09de3	POST	undefined	/auth
2024062024	12:49:44	2ebe52a1-0802-48d7-be1c-299f5e892ad6	GET	undefined	/employees
2024062024	12:49:58	aed3c4d6-a2c9-4b60-8782-67b87f412c86	GET	undefined	/employees
2024062024	01:15:44	43ea89a4-c6a1-4650-9afe-bd52e2011812	POST	undefined	/auth
2024062024	01:16:05	4b93f4ea-321f-4413-8e7a-fbb2be3d84df	GET	undefined	/refresh
2024062024	01:16:08	2d6a48f2-2a19-48a3-85a7-2c83b9fa9b9e	GET	undefined	/refresh
2024062024	01:16:09	9f5c4e2e-b64d-408b-b6ea-a3b485924d99	GET	undefined	/refresh
2024062024	01:16:12	eec7a034-9ab2-4ffa-8306-138bce98c9f0	GET	undefined	/refresh
2024062024	01:16:13	6740e94b-0617-4fea-b7f8-c79e8b0c9b37	GET	undefined	/refresh
2024062024	01:16:13	a07a8e16-4eed-46d3-98e6-5fa45ea6ae82	GET	undefined	/refresh
2024062024	01:16:14	a28fdf50-4b10-4a93-a8e3-bd643c038723	GET	undefined	/refresh
2024062024	01:16:14	9efdfa35-85f6-423d-8484-6321ea082dff	GET	undefined	/refresh
2024062024	01:16:14	62dad784-3528-4add-8530-def1774c6a15	GET	undefined	/refresh
2024062024	01:16:14	8e12ebe7-ddfb-4b37-8652-f308da8ae3c5	GET	undefined	/refresh
2024062024	01:16:15	f9150d70-036c-4c98-9c4d-3b773931a0a4	GET	undefined	/refresh
2024062024	01:16:15	f7ab2140-2397-47aa-976b-3afe32cd7f3c	GET	undefined	/refresh
2024062024	01:16:15	ef866d67-ed67-4fec-bf15-fda57c5512bc	GET	undefined	/refresh
2024062024	01:16:15	4744407b-12fa-443a-ac25-38deed3bdd87	GET	undefined	/refresh
2024062024	01:16:16	0ee937e1-bd7f-410f-91ff-eed3142f0976	GET	undefined	/refresh
2024062024	01:16:22	96f9ccef-835c-4ec1-8bd1-e40e5039b0f8	GET	undefined	/refresh
2024062024	01:16:23	3dddd8bd-c4c5-4fd1-b05c-31b6d8e769af	GET	undefined	/refresh
2024062024	01:16:24	b2fcd7b7-7bf4-41d1-98ce-3bfe16b1fa77	GET	undefined	/refresh
2024062024	01:16:31	1b8acb88-611f-4171-b49f-9c72c5586215	GET	undefined	/refresh
2024062024	01:16:41	6fa210d6-c3ef-4f14-895f-a037a905b8cb	GET	undefined	/refresh
2024062024	01:31:06	218fb22a-65ff-4209-98b1-b9b24ea06002	POST	undefined	/auth
2024062024	01:31:19	cd1ec17f-756e-41ba-89a1-6baab386ef8b	GET	undefined	/employees
2024062024	01:31:54	deedaaa3-c457-4539-93f5-8ec3c2e8d37b	GET	undefined	/employees
2024062024	01:31:57	fc54aac3-1b74-4ddd-b50a-03e9884e5094	POST	undefined	/auth
2024062024	01:32:06	14d1d0ef-9f7b-4873-93e1-fb21903b0692	GET	undefined	/employees
2024062024	01:32:13	686acf84-e673-4266-88b8-77b3159f5349	GET	undefined	/logout
2024062024	01:32:48	13014a04-7090-44d2-a3d5-dab508d2a204	POST	undefined	/auth
2024062024	01:32:55	5d872329-c283-47d7-b06e-86ec62b911f1	GET	undefined	/logout
2024062024	01:33:04	bd744649-8b50-4413-877b-4cd357358f2a	GET	undefined	/logout
2024062024	01:33:22	d437f7a5-3873-45f9-aac7-74c7e3cd4e3d	POST	undefined	/auth
2024062024	01:33:36	ad9cd83c-9650-4bbf-b52d-f80d7c806053	GET	undefined	/refresh
2024062024	01:33:42	f28732bd-ee1d-44a1-85c5-41637b2f0e1c	GET	undefined	/employees
2024062024	01:34:48	b397e6a7-d3a0-4a73-a77c-beed33f4161f	POST	undefined	/auth
2024062024	01:34:51	28632c70-9590-442b-875c-17b98fec54a6	GET	undefined	/logout
2024062024	01:36:41	d7d67785-3d09-488a-86d0-f0f8238ce0a3	POST	undefined	/auth
2024062024	01:37:33	edf3a036-d9fb-4d61-acf8-3097bfd45056	GET	undefined	/refresh
2024062024	01:37:40	908fe6e9-5c69-482b-b772-6a0b8de45006	POST	undefined	/auth
2024062024	01:37:47	b67bad74-932c-4807-b003-eaca101f978e	POST	undefined	/auth
2024062024	01:37:56	adfea38e-ec56-4ca9-83c4-00a825c43d78	GET	undefined	/logout
2024062024	01:39:54	2a590e96-70a6-41b8-894e-77f167ac5b7c	POST	undefined	/auth
2024062024	01:40:00	4b4c2132-4a81-4a7e-a71d-0c2ff29fae2c	GET	undefined	/logout
2024062024	01:40:30	c9c303be-e86f-4e97-916a-335e6d0e9d8b	GET	undefined	/logout
2024062024	01:40:33	6440ea80-e7ad-4b6f-ad9b-6add54b915c7	GET	undefined	/logout
2024062024	01:41:34	de479857-2eaa-4fd2-b95a-02488f6a8fe0	POST	undefined	/auth
2024062024	01:41:48	876e8e74-7026-4630-9152-6ebd68bc2d13	GET	undefined	/logout
2024062024	01:42:05	1f4301cd-7aff-4e50-80d7-cbc7fc8d0d9f	POST	undefined	/logout
2024062024	03:28:24	94c62bbd-ba58-4673-9e61-19b66597151f	GET	undefined	/img/item-7.jpeg
2024062024	03:28:26	051d695f-4a78-45ec-afe3-de33b8443b1c	GET	undefined	/favicon.ico
2024062024	03:49:37	3405bd93-2bd0-450b-8992-9d1796985c93	POST	undefined	/auth
2024062024	03:49:42	5fb33d61-13f7-4f0b-af84-89840efabb51	POST	undefined	/auth
2024062024	03:49:45	a94f430e-a577-4df5-80b5-c8106e98a15e	POST	undefined	/auth
2024062024	03:49:50	444cdbdf-308c-4003-b250-03a706093fc0	POST	undefined	/auth
2024062024	04:12:36	8914b78f-9168-44f2-b6ca-bda7179b4490	POST	undefined	/auth
2024062024	04:13:28	daa13cbc-383f-4d1f-97a0-9d287f332511	POST	undefined	/auth
2024062024	04:13:44	1cd5c7ff-99ca-4e11-b7b2-643e59ce396b	POST	undefined	/employees
2024062024	04:14:19	e1ca5929-5587-48c8-8d73-aefd91c9ed7e	POST	undefined	/auth
2024062024	04:14:29	59a2b100-3fee-44be-9d7f-4c9669845cc7	POST	undefined	/employees
2024062024	04:15:41	7593ae1b-bfa4-4380-857a-4688706d6871	POST	undefined	/employees
2024062024	04:15:55	46c243e6-d076-4ea3-a58b-68bf3d2804ee	POST	undefined	/auth
2024062024	04:16:05	e2a82507-b4ed-4443-a2b9-508e23bf5e13	GET	undefined	/employees
2024062024	04:16:11	ac5f5d64-a110-4c7e-9ad4-e3c0745c63f3	POST	undefined	/employees
2024062024	04:17:56	043162c9-b34c-4d5c-89d6-786b498a2de4	GET	undefined	/employees
2024062024	04:18:01	3748d8e2-2e82-402a-adf9-cc44266ad6d1	POST	undefined	/auth
2024062024	04:18:12	bec3211b-4453-43e5-ba8b-a99781996a6b	POST	undefined	/employees
2024062024	04:19:37	0054cb31-e972-4a27-b53f-2bf5aa659efe	POST	undefined	/auth
2024062024	04:19:45	abf1f1e7-aa9e-4d01-b25c-a493a638e101	POST	undefined	/employees
2024062024	04:23:04	42ef7289-5ff7-4ff3-898b-610a26f71668	POST	undefined	/auth
2024062024	04:24:57	92698ebb-f67b-4251-8acf-31351c69eef0	POST	undefined	/auth
2024062024	04:25:02	6af7bd67-0e6c-46c9-a3be-0ee641cee330	POST	undefined	/employees
2024062024	04:26:03	c09b8897-5f72-4f11-baf6-bbbb1286b28a	POST	undefined	/auth
2024062024	04:26:10	026d26cb-289f-4d74-87ea-a6cc64a58524	POST	undefined	/employees
2024062024	04:26:26	c3b4642b-5fb2-4a09-a2bf-1093a318fa29	GET	undefined	/employees
2024062024	04:26:29	c7ee0d3f-9324-484c-8e3a-2d6e77854a69	GET	undefined	/employees
2024062024	04:27:15	5803e00f-2597-4096-9a2c-44022cc2a3d7	POST	undefined	/employees
2024062024	04:27:38	0ecbd8d6-272d-40ed-bb9f-33270bf772da	POST	undefined	/auth
2024062024	04:27:46	9b43288d-725a-4a57-8804-eeb8797ab2af	POST	undefined	/employees
2024062024	04:29:37	1fd444e7-6af9-4556-b1fe-3d24c9a1d5b6	POST	undefined	/auth
2024062024	04:29:43	4bbf6dbd-f99a-4a3b-ac97-3d3136983991	GET	undefined	/employees
2024062024	09:45:31	40b52a29-a91d-4339-92ad-cafa82ef9c41	GET	undefined	/img/item-7.jpeg
2024062024	09:45:32	fe297aa8-a719-4dad-8d77-95273648daac	GET	undefined	/favicon.ico
2024062024	09:11:10	63519480-138a-4cb9-9405-68dd1c439e7b	GET	undefined	/img/item-7.jpeg
2024062024	09:11:11	086837ef-ba43-4988-9583-eaef85c17821	GET	undefined	/favicon.ico
2024062024	01:29:53	1a6c1b35-17cb-408b-810c-7f5f66314dcb	GET	undefined	/img/item-7.jpeg
2024062024	01:29:54	0770799f-82a9-48e2-b235-b5a60061c482	GET	undefined	/favicon.ico
